Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "HLT"     
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "HLT"     
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "HLT"     
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "HLT"     
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "HLT"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "HLT"     
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "HLT"     
ClusterSummary                        "clusterSummaryProducer"    ""                "HLT"     
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "HLT"     
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "HLT"     
GenEventInfoProduct                   "generator"                 ""                "HLT"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
HcalNoiseSummary                      "hcalnoise"                 ""                "HLT"     
HcalUnpackerReport                    "castorDigis"               ""                "HLT"     
HcalUnpackerReport                    "hcalDigis"                 ""                "HLT"     
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "HLT"     
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "HLT"     
double                                "fixedGridRhoAll"           ""                "HLT"     
double                                "fixedGridRhoFastjetAll"    ""                "HLT"     
double                                "fixedGridRhoFastjetAllCalo"   ""                "HLT"     
double                                "fixedGridRhoFastjetAllTmp"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentral"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralCalo"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "HLT"     
double                                "ak4CaloJets"               "rho"             "HLT"     
double                                "ak4GenJets"                "rho"             "HLT"     
double                                "ak4GenJetsNoNu"            "rho"             "HLT"     
double                                "ak4PFJets"                 "rho"             "HLT"     
double                                "ak4PFJetsCHS"              "rho"             "HLT"     
double                                "ak4TrackJets"              "rho"             "HLT"     
double                                "ak5CastorJets"             "rho"             "HLT"     
double                                "ak7CastorJets"             "rho"             "HLT"     
double                                "ak8GenJets"                "rho"             "HLT"     
double                                "ak8GenJetsNoNu"            "rho"             "HLT"     
double                                "ak8PFJetsCHS"              "rho"             "HLT"     
double                                "ak8PFJetsCHSSoftDrop"      "rho"             "HLT"     
double                                "cmsTopTagPFJetsCHS"        "rho"             "HLT"     
double                                "ak4CaloJets"               "sigma"           "HLT"     
double                                "ak4GenJets"                "sigma"           "HLT"     
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak4PFJets"                 "sigma"           "HLT"     
double                                "ak4PFJetsCHS"              "sigma"           "HLT"     
double                                "ak4TrackJets"              "sigma"           "HLT"     
double                                "ak5CastorJets"             "sigma"           "HLT"     
double                                "ak7CastorJets"             "sigma"           "HLT"     
double                                "ak8GenJets"                "sigma"           "HLT"     
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak8PFJetsCHS"              "sigma"           "HLT"     
double                                "ak8PFJetsCHSSoftDrop"      "sigma"           "HLT"     
double                                "cmsTopTagPFJetsCHS"        "sigma"           "HLT"     
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "HLT"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "HLT"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "HLT"     
edm::AssociationVector<edm::RefProd<vector<reco::PFTau> >,vector<edm::Ref<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter,edm::refhelper::FindUsingAdvance<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter> > >,edm::Ref<vector<reco::PFTau>,reco::PFTau,edm::refhelper::FindUsingAdvance<vector<reco::PFTau>,reco::PFTau> >,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hpsPFTauTransverseImpactParameters"   ""                "HLT"     
